"Date"
"20180101"
"20180216"
"20180311"
"20180401"
"20180402"
"20180501"
"20180506"
"20180603"
"20180624"
"20180706"
"20180815"
"20181101"
"20181224"
"20181225"
"20190101"
"20190216"
"20190311"
"20190421"
"20190422"
"20190501"
"20190505"
"20190602"
"20190624"
"20190706"
"20190815"
"20191101"
"20191224"
"20191225"
"20200101"
"20200216"
"20200311"
"20200412"
"20200413"
"20200501"
"20200503"
"20200607"
"20200624"
"20200706"
"20200815"
"20201101"
"20201102"
"20201224"
"20201225"
"20210101"
"20210216"
"20210311"
"20210404"
"20210405"
"20210501"
"20210502"
"20210606"
"20210624"
"20210706"
"20210815"
"20211101"
"20211102"
"20211224"
"20211225"
"20220101"
"20220216"
"20220311"
"20220417"
"20210418"
"20210501"
"20220605"
"20220624"
"20220706"
"20220815"
